station,longitude,latitude
AAWS Balitbu Solok,100.5976,-0.722417
AAWS GAW Kototabang,100.3181,-0.20194
AAWS Staklim Padang Pariaman,100.2985,-0.54585
ARG Ampek Nagari,99.99694,-0.1966
ARG Batang Kapas,100.611549,-1.488666
ARG Guguak,100.547546,-0.153245
ARG Kapur IX,100.55811,0.24139
ARG Linggosari Baganti,100.8828,-1.906944
ARG Rao Pasaman,100.0186,0.561
ARG Sijunjung,100.9944,-0.69722
ARG Sipora Jaya,99.598366,-2.064373
ARG SMPK Tanah Datar,100.568278,-0.500556
ARG Solok Selatan,101.246422,-1.554706
ARG Solok_,100.6242,-0.9466
ARG Sungai Dareh,101.5378,-0.982507
ARG Sungai Limau,100.102493,-0.534895
AWS Alahan Panjang,100.7943,-1.095582
AWS Digi Stamet Padang,100.287359,-0.788914
AWS Harau,100.666,-0.16989
AWS Pasaman Barat,99.868561,0.124304